connectance_windsor,Pixel_Lat,Pixel_Long,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NDVI,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm
0.209359606,50.42083359,-101.0458298,862,24.37214088,458.0125122,240.713913,51.77065277,78,0,0,0,0,10,12,0,1431,1907,1124,0.964288354,-0.264827847,492,3.10640502,0.5625,0,38.00876617,20.54719925,0,3102.489014,5,200,45.51102066,61.82996368,69.41080475
0.125615764,43.96250153,-79.07917023,920,78.94449615,725.7701416,256.2930298,11.83710003,72,0,18,0,0,7,4,0,498,317,3723,-0.17446357,-0.975519896,186.5,1.187981844,-1.9375,0,0.653194308,112.6965332,0,5525.268066,1,200,41.95738602,40.76934052,63.20164108
0.101149425,44.39583206,-74.3041687,832,55.78319168,984.9465332,232.8070526,18.05999756,0,0,65,0,13,0,23,0,612,1859,1691,-0.073301002,0.467443913,549,5.190455914,2.6875,0,0,161.4080048,0,5923.143066,4,190.0236511,60.27508163,179.0017242,44.01483536
0.120430108,43.96250153,-79.07917023,920,78.94449615,725.7701416,256.2930298,11.83710003,72,0,18,0,0,7,4,0,498,317,3723,-0.17446357,-0.975519896,186.5,1.187981844,-1.9375,0,0.653194308,112.6965332,0,5525.268066,1,200,41.95738602,40.76934052,63.20164108
0.108870968,44.33750153,-74.41249847,841,59.48979187,921.8004761,236.9504395,14.36461353,0,0,41,0,11,0,42,0,883,-1564,2560,0.808374166,-0.286635488,496.5,1.302632332,-0.3125,0,0.273101479,114.7719116,0,5152.561035,14,198.4528809,57.27942657,167.4937286,45.62612152
0.209677419,46.25416565,-89.49583435,868,43.71894836,890.814209,224.8253479,35.37914276,0,0,32,0,0,0,68,0,559,-556,2974,0.4305076,-0.316740423,526,0.811994195,1.25,0,0,100.3832855,0,5009.336426,50,200,57.0607872,102.4211807,47.65023804
0.092063492,44.01250076,-75.02083588,832,59.27130127,1172.823364,235.3236542,12.33220482,0,0,41,0,12,0,45,0,1614,5492,2822,-0.878492475,0.477627575,566,2.369566441,-0.625,0,0,161.5795593,0,5779.532227,1,169.5673676,55.78995514,168.1955261,43.43759155
0.076813656,43.83750153,-74.8041687,833,59.18577957,1155.419678,233.9880981,11.078228,0,0,41,0,12,0,47,0,1022,1251,1088,0.89755702,0.046885964,599.5,2.933214664,1.125,0,0,181.9681702,0,5993.193359,1,186.4483032,59.91916275,179.9475708,42.49914932
0.174964438,46.25416565,-89.49583435,868,43.71894836,890.814209,224.8253479,35.37914276,0,0,32,0,0,0,68,0,559,-556,2974,0.4305076,-0.316740423,526,0.811994195,1.25,0,0,100.3832855,0,5009.336426,50,200,57.0607872,102.4211807,47.65023804
0.061538462,44.02083206,-75.02083588,833,57.90159607,1208.99231,233.7998199,12.56128597,0,0,40,0,16,0,44,0,630,128,1735,-0.81461513,0.029361665,586,1.136213779,2.125,0,0,160.7804413,0,5929.268066,1,142.8698425,56.04053116,144.9873962,42.85164642
0.087179487,43.84583282,-74.87916565,832,56.86470032,1155.409912,231.5359955,10.77912903,6,0,36,0,12,0,43,0,903,560,1912,-0.445386291,-0.146739691,642.5,2.128921509,2.5,0,0,135.1461334,0,5174.376953,1,167.6880798,57.27667999,170.6301575,43.3045578
0.055749129,43.62916565,-74.65416718,831,49.20737457,1467.668701,221.5367279,7.914753914,0,0,26,0,10,0,43,0,874,-262,1288,0.926280081,-0.085345164,815.5,6.995335579,-6.375,0,0.000768629,136.8961792,0,5573.687988,4,153.8766632,58.66669083,180.5409088,40.82406616
